idx_in_subset,AP,query_image
45,0.799025,0027_c016_00011185_0.jpg
46,0.765006,0027_c017_00012205_0.jpg
47,0.915835,0027_c019_00012010_0.jpg
48,0.69256,0030_c005_00051590_1.jpg
49,0.199938,0030_c007_00054885_1.jpg
50,0.302098,0030_c008_00049770_0.jpg
51,0.392806,0030_c009_00049855_0.jpg
52,0.770563,0035_c002_00000440_2.jpg
53,0.759393,0035_c003_00001875_0.jpg
54,0.66388,0035_c004_00001795_0.jpg
55,0.778683,0035_c006_00001150_0.jpg
56,0.72151,0035_c010_00001265_0.jpg
57,0.605317,0035_c011_00001085_0.jpg
58,0.788828,0038_c001_00001200_0.jpg
59,0.508942,0038_c003_00008510_1.jpg
60,0.70015,0038_c004_00008430_0.jpg
61,0.554148,0038_c008_00008265_0.jpg
62,0.526788,0038_c009_00008275_0.jpg
63,0.789865,0038_c012_00001765_0.jpg
64,0.841096,0038_c013_00001640_0.jpg
65,0.739192,0038_c014_00004130_0.jpg
66,0.706794,0038_c015_00004055_0.jpg
67,0.486414,0038_c016_00004350_0.jpg
68,0.830203,0038_c017_00003360_0.jpg
69,0.802301,0038_c019_00003575_0.jpg
70,1.0,0042_c001_00085315_0.jpg
71,1.0,0042_c002_00085830_0.jpg
72,1.0,0042_c003_00087110_0.jpg
73,1.0,0042_c004_00087105_0.jpg
74,1.0,0042_c006_00086245_0.jpg
75,1.0,0042_c010_00086395_0.jpg
76,1.0,0042_c011_00086255_0.jpg
77,1.0,0042_c012_00083340_0.jpg
78,1.0,0042_c013_00083430_0.jpg
79,0.99932,0042_c017_00082800_0.jpg
80,0.136744,0061_c003_00083765_0.jpg
81,1.0,0061_c004_00083720_0.jpg
82,0.88346,0061_c010_00080095_0.jpg
83,0.938418,0063_c001_00009565_0.jpg
84,0.691917,0063_c002_00010000_0.jpg
85,0.874314,0063_c012_00009300_0.jpg
86,0.964583,0063_c013_00009375_0.jpg
87,0.922922,0063_c016_00007580_0.jpg
88,0.914369,0063_c017_00008705_2.jpg
89,0.97375,0063_c019_00008480_0.jpg
90,0.978261,0065_c001_00064630_0.jpg
91,0.911623,0065_c002_00063040_0.jpg
92,0.862421,0065_c003_00060250_0.jpg
93,0.989241,0065_c004_00060105_0.jpg
94,0.989251,0065_c006_00061310_0.jpg
95,0.966326,0065_c008_00059930_0.jpg
96,0.940009,0065_c009_00059990_0.jpg
97,0.997904,0065_c010_00061240_0.jpg
98,0.993545,0065_c011_00061315_0.jpg
99,0.985218,0065_c012_00065115_0.jpg
100,0.968987,0065_c013_00064960_0.jpg
101,0.989203,0065_c014_00067520_0.jpg
102,0.980137,0065_c015_00067315_0.jpg
103,0.987257,0065_c016_00068390_0.jpg
104,0.994213,0065_c017_00065800_0.jpg
105,0.943058,0065_c019_00066085_0.jpg
106,0.81072,0066_c001_00059990_0.jpg
107,0.641191,0066_c012_00059110_0.jpg
108,0.796601,0066_c013_00059200_0.jpg
109,0.584402,0066_c014_00056825_0.jpg
110,0.893492,0066_c015_00057085_0.jpg
111,0.881934,0066_c016_00055450_0.jpg
112,0.68385,0066_c017_00058360_0.jpg
113,0.691979,0066_c019_00058085_0.jpg
114,1.0,0074_c002_00000395_1.jpg
115,0.99471,0074_c003_00001800_0.jpg
116,1.0,0074_c004_00001730_0.jpg
117,0.996565,0074_c006_00001085_0.jpg
118,1.0,0074_c010_00001190_0.jpg
119,1.0,0074_c011_00001005_0.jpg
120,0.997184,0074_c014_00085690_0.jpg
121,1.0,0074_c015_00085800_0.jpg
122,0.99401,0074_c016_00085490_0.jpg
123,0.610596,0086_c001_00079320_0.jpg
124,0.925299,0086_c012_00080055_0.jpg
125,0.882396,0086_c013_00079895_0.jpg
126,0.950099,0086_c014_00081915_0.jpg
127,0.929169,0086_c015_00081770_0.jpg
128,0.962891,0086_c016_00082225_0.jpg
129,0.896738,0086_c017_00080725_0.jpg
130,0.812105,0086_c019_00080940_0.jpg
131,0.97619,0089_c005_00058765_0.jpg
132,1.0,0089_c007_00058930_0.jpg
133,0.060564,0090_c003_00078485_1.jpg
134,0.024731,0090_c004_00078395_0.jpg
135,0.555686,0090_c009_00078245_0.jpg
136,0.485826,0096_c005_00030530_0.jpg
137,0.113845,0096_c007_00030630_0.jpg
138,0.377768,0096_c012_00025270_1.jpg
139,0.792482,0096_c013_00025120_0.jpg
140,0.302308,0096_c014_00026795_0.jpg
141,0.573773,0096_c015_00026665_0.jpg
142,0.66634,0096_c016_00027015_0.jpg
143,0.676147,0096_c019_00026150_0.jpg
144,0.775634,0101_c001_00043680_0.jpg
145,0.617066,0101_c012_00044145_0.jpg
146,0.833988,0101_c013_00044035_0.jpg
147,0.621105,0101_c014_00045815_0.jpg
148,0.571529,0101_c015_00045615_0.jpg
149,0.925217,0101_c016_00047300_0.jpg
150,0.573563,0101_c017_00044765_1.jpg
151,0.785328,0102_c001_00008215_0.jpg
