idx_in_subset,query_name,AP_modelA,AP_modelB,AP_max,chosen_model
88,0063_c017_00008705_2.jpg,0.9143688285407183,0.010588540905077354,0.9143688285407183,A
89,0063_c019_00008480_0.jpg,0.9737496029929782,0.07203755986602864,0.9737496029929782,A
90,0065_c001_00064630_0.jpg,0.9782607288779483,0.6229966640831602,0.9782607288779483,A
91,0065_c002_00063040_0.jpg,0.9116230130370131,0.7444929401403704,0.9116230130370131,A
92,0065_c003_00060250_0.jpg,0.86242149216243,0.572864886079424,0.86242149216243,A
93,0065_c004_00060105_0.jpg,0.9892409883913161,0.8203447004165549,0.9892409883913161,A
94,0065_c006_00061310_0.jpg,0.9892506824015744,0.7037751480799727,0.9892506824015744,A
95,0065_c008_00059930_0.jpg,0.9663260138960946,0.6240341130373065,0.9663260138960946,A
96,0065_c009_00059990_0.jpg,0.9400086435457017,0.69655475681011,0.9400086435457017,A
97,0065_c010_00061240_0.jpg,0.9979043938135471,0.6400952903766955,0.9979043938135471,A
98,0065_c011_00061315_0.jpg,0.9935449752916773,0.7545311792110335,0.9935449752916773,A
99,0065_c012_00065115_0.jpg,0.9852183789844365,0.7384890480379912,0.9852183789844365,A
100,0065_c013_00064960_0.jpg,0.9689874030092905,0.754512411232285,0.9689874030092905,A
101,0065_c014_00067520_0.jpg,0.9892034667814716,0.8312510118291977,0.9892034667814716,A
102,0065_c015_00067315_0.jpg,0.9801368656095856,0.843796155303287,0.9801368656095856,A
103,0065_c016_00068390_0.jpg,0.9872569787441706,0.785552971495059,0.9872569787441706,A
104,0065_c017_00065800_0.jpg,0.9942127409549164,0.7838122367043264,0.9942127409549164,A
105,0065_c019_00066085_0.jpg,0.9430582227960403,0.8126770859869393,0.9430582227960403,A
106,0066_c001_00059990_0.jpg,0.8107197379113199,0.9114881696383801,0.9114881696383801,B
107,0066_c012_00059110_0.jpg,0.6411911773506909,0.8920978469222154,0.8920978469222154,B
108,0066_c013_00059200_0.jpg,0.7966006369370148,0.8225826182238878,0.8225826182238878,B
109,0066_c014_00056825_0.jpg,0.584401738155854,0.7733746964084643,0.7733746964084643,B
110,0066_c015_00057085_0.jpg,0.8934919505248744,0.8421128974835509,0.8934919505248744,A
111,0066_c016_00055450_0.jpg,0.8819342202666282,0.7816493459282424,0.8819342202666282,A
112,0066_c017_00058360_0.jpg,0.6838499938449012,0.8462039722175617,0.8462039722175617,B
113,0066_c019_00058085_0.jpg,0.6919786695539439,0.8660339704907891,0.8660339704907891,B
114,0074_c002_00000395_1.jpg,1.0,0.11116735069035664,1.0,A
115,0074_c003_00001800_0.jpg,0.994709769153563,0.3169880352207849,0.994709769153563,A
116,0074_c004_00001730_0.jpg,1.0,0.01532005448331823,1.0,A
117,0074_c006_00001085_0.jpg,0.9965650457428321,0.10781992741637429,0.9965650457428321,A
118,0074_c010_00001190_0.jpg,1.0,0.19806534753762176,1.0,A
119,0074_c011_00001005_0.jpg,1.0,0.25629964603533933,1.0,A
120,0074_c014_00085690_0.jpg,0.9971842510589143,0.08146418831795087,0.9971842510589143,A
121,0074_c015_00085800_0.jpg,1.0,0.2884877546245287,1.0,A
122,0074_c016_00085490_0.jpg,0.9940099090318388,0.034352765214928985,0.9940099090318388,A
123,0086_c001_00079320_0.jpg,0.610595572652088,0.02710256456699477,0.610595572652088,A
124,0086_c012_00080055_0.jpg,0.9252987958200817,0.38411239617238363,0.9252987958200817,A
125,0086_c013_00079895_0.jpg,0.8823956031329158,0.4061115790504761,0.8823956031329158,A
126,0086_c014_00081915_0.jpg,0.9500986902969586,0.2866307957087385,0.9500986902969586,A
127,0086_c015_00081770_0.jpg,0.9291687021685323,0.25317408853441314,0.9291687021685323,A
128,0086_c016_00082225_0.jpg,0.9628914872465417,0.13483046799694454,0.9628914872465417,A
129,0086_c017_00080725_0.jpg,0.8967382760808256,0.15298383601817656,0.8967382760808256,A
130,0086_c019_00080940_0.jpg,0.8121048740801675,0.3258306080936464,0.8121048740801675,A
131,0089_c005_00058765_0.jpg,0.9761904761904763,0.03539515941152759,0.9761904761904763,A
132,0089_c007_00058930_0.jpg,1.0,0.023267401064020355,1.0,A
133,0090_c003_00078485_1.jpg,0.060564209454158746,0.9514652014652015,0.9514652014652015,B
134,0090_c004_00078395_0.jpg,0.02473090412998545,0.9126984126984127,0.9126984126984127,B
135,0090_c009_00078245_0.jpg,0.5556859925821512,0.9331349206349207,0.9331349206349207,B
136,0096_c005_00030530_0.jpg,0.48582640462554566,0.9990530303030303,0.9990530303030303,B
137,0096_c007_00030630_0.jpg,0.11384499125757486,0.8313132782564747,0.8313132782564747,B
138,0096_c012_00025270_1.jpg,0.3777680819357287,0.9220506205480989,0.9220506205480989,B
139,0096_c013_00025120_0.jpg,0.7924817923339237,0.9012863074924696,0.9012863074924696,B
140,0096_c014_00026795_0.jpg,0.3023080358663381,0.9011659304924908,0.9011659304924908,B
141,0096_c015_00026665_0.jpg,0.5737727557071305,0.9050119981001529,0.9050119981001529,B
142,0096_c016_00027015_0.jpg,0.6663400919674535,0.9299372187679584,0.9299372187679584,B
143,0096_c019_00026150_0.jpg,0.6761472628280987,0.9225849367673014,0.9225849367673014,B
144,0101_c001_00043680_0.jpg,0.7756343440744096,0.9369968725396982,0.9369968725396982,B
145,0101_c012_00044145_0.jpg,0.6170661879147779,0.9898524667176031,0.9898524667176031,B
146,0101_c013_00044035_0.jpg,0.8339883114668732,0.9666135837663496,0.9666135837663496,B
147,0101_c014_00045815_0.jpg,0.6211053818783482,0.9936494968357713,0.9936494968357713,B
148,0101_c015_00045615_0.jpg,0.5715289615084637,0.9977664067576347,0.9977664067576347,B
149,0101_c016_00047300_0.jpg,0.9252174583835723,0.9368697150136889,0.9368697150136889,B
150,0101_c017_00044765_1.jpg,0.5735633916688689,0.9596075443776593,0.9596075443776593,B
151,0102_c001_00008215_0.jpg,0.7853278481849376,0.8519745506198171,0.8519745506198171,B
152,0102_c012_00007880_0.jpg,0.7411220152125877,0.8939197085679459,0.8939197085679459,B
153,0102_c013_00007965_0.jpg,0.6105871296054429,0.8271024604024906,0.8271024604024906,B
154,0102_c014_00005435_0.jpg,0.7882474835845162,0.8653162164456929,0.8653162164456929,B
155,0102_c015_00005535_0.jpg,0.5862457714238174,0.8077615238798054,0.8077615238798054,B
156,0102_c016_00010770_0.jpg,0.6318193969514138,0.9175949205195322,0.9175949205195322,B
157,0102_c017_00006970_1.jpg,0.6867567324345641,0.9162355404602215,0.9162355404602215,B
158,0102_c019_00006590_0.jpg,0.5872573605616483,0.8888680833752629,0.8888680833752629,B
159,0104_c001_00021440_0.jpg,0.8263597115954816,0.9943899018232819,0.9943899018232819,B
160,0104_c002_00019700_1.jpg,0.2268236751573606,0.8142943631105604,0.8142943631105604,B
161,0104_c003_00016995_0.jpg,0.9926520276645576,0.8405297846826564,0.9926520276645576,A
162,0104_c004_00016940_0.jpg,0.7549988440831868,0.9936319999112377,0.9936319999112377,B
163,0104_c006_00017875_1.jpg,0.8586280277751284,0.9090301409418851,0.9090301409418851,B
164,0104_c010_00017790_0.jpg,0.5230466039044598,0.8708158793367713,0.8708158793367713,B
165,0104_c011_00017820_1.jpg,0.8536800217953133,0.9460147977979119,0.9460147977979119,B
166,0104_c013_00021685_0.jpg,0.3410550597042784,0.9169238192376159,0.9169238192376159,B
167,0104_c018_00022470_0.jpg,0.8954794688441854,0.7456274286455539,0.8954794688441854,A
168,0105_c014_00069950_0.jpg,0.18649445943202014,0.09499597445858925,0.18649445943202014,A
169,0105_c015_00069955_0.jpg,0.9360795454545454,0.521237886426449,0.9360795454545454,A
170,0105_c016_00069670_0.jpg,0.9791666666666666,0.5334780400014688,0.9791666666666666,A
171,0106_c014_00015900_0.jpg,0.9290235150166354,0.4040069329182181,0.9290235150166354,A
172,0106_c015_00015940_0.jpg,0.8777884642231419,0.06847033729953395,0.8777884642231419,A
173,0106_c016_00015635_0.jpg,0.8691620421092559,0.13953603605725562,0.8691620421092559,A
174,0106_c017_00018825_0.jpg,0.8672610728567204,0.5358744082103231,0.8672610728567204,A
175,0106_c019_00018530_0.jpg,0.8498263320974123,0.10623417432489435,0.8498263320974123,A
176,0108_c002_00075460_1.jpg,0.4262499716231708,0.8524875977072447,0.8524875977072447,B
177,0108_c003_00077570_0.jpg,0.7803621253512629,0.8142576961342526,0.8142576961342526,B
178,0108_c004_00077550_0.jpg,0.8986135435010234,0.3003440055845056,0.8986135435010234,A
179,0108_c005_00078200_0.jpg,0.9334789215965146,0.7928112887412118,0.9334789215965146,A
180,0108_c006_00076755_1.jpg,0.7112494605096739,0.8700780985125486,0.8700780985125486,B
181,0108_c007_00078265_0.jpg,0.33870240309423416,0.8682357894387808,0.8682357894387808,B
182,0108_c008_00077790_0.jpg,0.8727032160892477,0.8244741559516234,0.8727032160892477,A
183,0108_c009_00077755_0.jpg,0.8974216435148008,0.7906345003367135,0.8974216435148008,A
184,0108_c010_00076940_0.jpg,0.7110816489251566,0.736523264029687,0.736523264029687,B
185,0108_c011_00076760_1.jpg,0.8430182221378758,0.6713667511023896,0.8430182221378758,A
186,0110_c001_00018880_0.jpg,0.6106333468623245,0.8120853806688946,0.8120853806688946,B
187,0110_c002_00019620_0.jpg,0.6801240910635238,0.8457643576915497,0.8457643576915497,B
188,0110_c003_00022520_1.jpg,0.41680870834013806,0.9464174467459988,0.9464174467459988,B
189,0110_c004_00022495_0.jpg,0.6649922951978327,0.7568452777790469,0.7568452777790469,B
190,0110_c006_00021960_0.jpg,0.6133249188057729,0.7856381959483486,0.7856381959483486,B
191,0110_c008_00022735_0.jpg,0.9086132416970814,0.7266005554270164,0.9086132416970814,A
192,0110_c009_00022635_0.jpg,0.847360747428414,0.2260792045567071,0.847360747428414,A
193,0110_c010_00022075_0.jpg,0.4430045630145124,0.8459371744668037,0.8459371744668037,B
