idx_in_subset,AP,query_basename,query_path
135,0.555686,0090_c009_00078245_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0090_c009_00078245_0.jpg
136,0.485826,0096_c005_00030530_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0096_c005_00030530_0.jpg
137,0.113845,0096_c007_00030630_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0096_c007_00030630_0.jpg
138,0.377768,0096_c012_00025270_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0096_c012_00025270_1.jpg
139,0.792482,0096_c013_00025120_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0096_c013_00025120_0.jpg
140,0.302308,0096_c014_00026795_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0096_c014_00026795_0.jpg
141,0.573773,0096_c015_00026665_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0096_c015_00026665_0.jpg
142,0.66634,0096_c016_00027015_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0096_c016_00027015_0.jpg
143,0.676147,0096_c019_00026150_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0096_c019_00026150_0.jpg
144,0.775634,0101_c001_00043680_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0101_c001_00043680_0.jpg
145,0.617066,0101_c012_00044145_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0101_c012_00044145_0.jpg
147,0.621105,0101_c014_00045815_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0101_c014_00045815_0.jpg
148,0.571529,0101_c015_00045615_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0101_c015_00045615_0.jpg
150,0.573563,0101_c017_00044765_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0101_c017_00044765_1.jpg
151,0.785328,0102_c001_00008215_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0102_c001_00008215_0.jpg
152,0.741122,0102_c012_00007880_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0102_c012_00007880_0.jpg
153,0.610587,0102_c013_00007965_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0102_c013_00007965_0.jpg
154,0.788247,0102_c014_00005435_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0102_c014_00005435_0.jpg
155,0.586246,0102_c015_00005535_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0102_c015_00005535_0.jpg
156,0.631819,0102_c016_00010770_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0102_c016_00010770_0.jpg
157,0.686757,0102_c017_00006970_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0102_c017_00006970_1.jpg
158,0.587257,0102_c019_00006590_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0102_c019_00006590_0.jpg
160,0.226824,0104_c002_00019700_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0104_c002_00019700_1.jpg
162,0.754999,0104_c004_00016940_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0104_c004_00016940_0.jpg
164,0.523047,0104_c010_00017790_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0104_c010_00017790_0.jpg
166,0.341055,0104_c013_00021685_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0104_c013_00021685_0.jpg
168,0.186494,0105_c014_00069950_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0105_c014_00069950_0.jpg
176,0.42625,0108_c002_00075460_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0108_c002_00075460_1.jpg
177,0.780362,0108_c003_00077570_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0108_c003_00077570_0.jpg
180,0.711249,0108_c006_00076755_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0108_c006_00076755_1.jpg
181,0.338702,0108_c007_00078265_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0108_c007_00078265_0.jpg
184,0.711082,0108_c010_00076940_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0108_c010_00076940_0.jpg
186,0.610633,0110_c001_00018880_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0110_c001_00018880_0.jpg
187,0.680124,0110_c002_00019620_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0110_c002_00019620_0.jpg
188,0.416809,0110_c003_00022520_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0110_c003_00022520_1.jpg
189,0.664992,0110_c004_00022495_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0110_c004_00022495_0.jpg
190,0.613325,0110_c006_00021960_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0110_c006_00021960_0.jpg
193,0.443005,0110_c010_00022075_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0110_c010_00022075_0.jpg
194,0.647286,0110_c011_00021890_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0110_c011_00021890_0.jpg
195,0.50913,0110_c012_00007700_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0110_c012_00007700_0.jpg
196,0.687448,0113_c001_00080770_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0113_c001_00080770_0.jpg
197,0.621968,0113_c002_00079195_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0113_c002_00079195_1.jpg
198,0.640334,0113_c003_00076335_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0113_c003_00076335_0.jpg
199,0.651198,0113_c004_00076225_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0113_c004_00076225_0.jpg
201,0.700053,0113_c008_00076115_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0113_c008_00076115_0.jpg
202,0.772523,0113_c009_00076210_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0113_c009_00076210_0.jpg
203,0.487222,0113_c010_00076760_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0113_c010_00076760_1.jpg
204,0.795544,0113_c011_00076850_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0113_c011_00076850_0.jpg
205,0.590909,0113_c012_00081255_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0113_c012_00081255_0.jpg
206,0.651292,0113_c013_00081150_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0113_c013_00081150_0.jpg
207,0.524908,0113_c017_00081820_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0113_c017_00081820_0.jpg
208,0.58433,0113_c019_00081925_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0113_c019_00081925_0.jpg
214,0.737085,0117_c016_00052565_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0117_c016_00052565_0.jpg
219,0.74785,0118_c003_00089040_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0118_c003_00089040_1.jpg
222,0.758802,0118_c006_00088190_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0118_c006_00088190_1.jpg
236,0.261309,0122_c012_00036985_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0122_c012_00036985_0.jpg
241,0.572726,0126_c001_00005395_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c001_00005395_0.jpg
242,0.587922,0126_c002_00059155_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c002_00059155_0.jpg
243,0.522491,0126_c003_00061005_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c003_00061005_1.jpg
244,0.573107,0126_c004_00060980_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c004_00060980_0.jpg
245,0.73043,0126_c005_00061745_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c005_00061745_1.jpg
246,0.523218,0126_c006_00060265_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c006_00060265_0.jpg
247,0.261768,0126_c007_00061840_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c007_00061840_0.jpg
248,0.680324,0126_c008_00061250_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c008_00061250_0.jpg
249,0.656924,0126_c009_00061190_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c009_00061190_0.jpg
250,0.509997,0126_c010_00060400_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c010_00060400_0.jpg
251,0.518005,0126_c011_00060250_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c011_00060250_0.jpg
252,0.628509,0126_c012_00003945_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c012_00003945_0.jpg
254,0.477059,0126_c014_00002490_1.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c014_00002490_1.jpg
255,0.758849,0126_c016_00002265_0.jpg,/content/drive/MyDrive/vehicle_reid_itsc2023-main/dataset/VeRi/image_query/0126_c016_00002265_0.jpg
